,Name,Type,Nominations,Wins,Awards,Performances
304,Cabaret,Musical+Revival,32,12,"['Drama Desk Award + Nominee + Outstanding Orchestrations', 'Drama Desk Award + Nominee + Outstanding Revival of a Musical', 'Drama Desk Award + Winner + Outstanding Actor in a Musical', 'Drama Desk Award + Winner + Outstanding Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Director of a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Lighting Design', 'Drama Desk Award + Nominee + Outstanding Set Design for a Musical', 'Drama Desk Award + Nominee + Outstanding Costume Design', 'Drama League + Winner + Distinguished Production of a Revival', ""New York Drama Critics' Circle + Winner + Special Citation"", 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Lighting Design', 'Outer Critics Circle + Winner + Outstanding Revival of a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Winner + Outstanding Actor in a Musical', 'Outer Critics Circle + Winner + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Choreography', 'Outer Critics Circle + Nominee + Outstanding Director of a Musical', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Winner + Best Revival of a Musical', 'Tony Award + Winner + Best Actor in a Musical', 'Tony Award + Winner + Best Actress in a Musical', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Winner + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Best Orchestrations']",2377
305,The Deep Blue Sea,Drama+Revival,0,0,[],61
306,The Chairs,Tragedy+Farce+Play+Revival,13,1,"['Drama Desk Award + Nominee + Outstanding Sound Design', 'Drama Desk Award + Nominee + Outstanding Lighting Design', 'Drama Desk Award + Nominee + Outstanding Director of a Play', 'Drama Desk Award + Nominee + Outstanding Actor in a Play', 'Drama Desk Award + Winner + Outstanding Set Design for a Play', 'Drama Desk Award + Nominee + Outstanding Revival of a Play', 'Drama League + Nominee + Distinguished Production of a Revival', 'Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Nominee + Best Revival of a Play', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Nominee + Best Actress in a Play', 'Tony Award + Nominee + Best Actor in a Play']",74
307,Golden Child,Original,6,0,"['Outer Critics Circle + Nominee + Outstanding Featured Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Set Design', 'Tony Award + Nominee + Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Costume Design (Play or Musical)']",69
308,Wait Until Dark,Play+Revival,0,0,[],97
309,The Herbal Bed,Original,0,0,[],13
310,The Beauty Queen of Leenane,Play+Original,18,9,"['Drama Desk Award + Winner + Outstanding Play', 'Drama Desk Award + Nominee + Outstanding Director of a Play', 'Drama Desk Award + Nominee + Outstanding Actress in a Play', 'Drama League + Winner + Outstanding New Broadway Play', 'Drama League + Winner + Distinguished Production of a Play', ""New York Drama Critics' Circle + Nominee + Best Play"", 'Outer Critics Circle + Nominee + Outstanding Director of a Play', 'Outer Critics Circle + Winner + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Theatre World Awards + Winner + Theatre World Special Award', 'Tony Award + Nominee + Play', 'Tony Award + Winner + Best Actress in a Play', 'Tony Award + Winner + Best Direction of a Play', 'Tony Award + Winner + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Winner + Best Featured Actress in a Play']",365
311,Honour,Drama+Original,3,1,"['Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Actress in a Play']",57
312,High Society,Original,11,1,"['Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama League + Nominee + Distinguished Production of a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Musical', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical']",144
313,The Judas Kiss,Original,0,0,[],103
314,Side Man,Original,6,3,"['Drama Desk Award + Nominee + Outstanding Actress in a Play', 'Drama Desk Award + Nominee + Outstanding Play', 'Drama League + Nominee + Distinguished Production of a Play', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Winner + Play', 'Tony Award + Winner + Best Featured Actor in a Play']",517
315,Twelfth Night,Comedy+Revival,10,1,"['Drama Desk Award + Winner + Outstanding Music in a Play', 'Drama Desk Award + Nominee + Outstanding Set Design for a Play', 'Drama Desk Award + Nominee + Outstanding Lighting Design', 'Drama Desk Award + Nominee + Outstanding Costume Design', 'Drama League + Nominee + Distinguished Production of a Revival', 'Tony Award + Nominee + Best Revival of a Play', 'Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Costume Design (Play or Musical)']",53
316,An Evening with Jerry Herman,Original,0,0,[],28
317,Jerry Seinfeld: Live on Broadway,Original,0,0,[],10
318,Colin Quinn -- An Irish Wake,Original,0,0,[],22
319,Swan Lake,Musical+Original,15,11,"['Drama Desk Award + Winner + Unique Theatrical Experience', 'Drama Desk Award + Winner + Outstanding Set Design for a Musical', 'Drama Desk Award + Winner + Outstanding Costume Design', 'Drama Desk Award + Winner + Outstanding Choreography', 'Drama Desk Award + Winner + Outstanding Director of a Musical', 'Drama League + Nominee + Distinguished Production of a Revival', 'Outer Critics Circle + Winner + Outstanding Director of a Musical', 'Outer Critics Circle + Winner + Outstanding Costume Design', 'Outer Critics Circle + Winner + Outstanding Choreography', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Tony Award + Nominee + Best Orchestrations', 'Tony Award + Winner + Best Direction of a Musical', 'Tony Award + Winner + Costume Design (Play or Musical)', 'Tony Award + Winner + Best Choreography', 'Tony Award + Nominee + Best Actor in a Musical']",124
320,"Mandy Patinkin in Concert: ""Mamaloshen""",Concert+Original,0,0,[],28
321,More to Love,Original,0,0,[],5
322,A Mom's Life,Original,0,0,[],3
323,Aznavour,Original,0,0,[],23
324,Footloose,Original,7,0,"['Drama League + Nominee + Distinguished Production of a Musical', 'Outer Critics Circle + Nominee + Outstanding Choreography', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Nominee + Best Actress in a Musical']",709
325,Getting and Spending,Original,0,0,[],41
326,I'm Still Here...Damn It!,Original,1,0,['Outer Critics Circle + Nominee + Outstanding Solo Performance'],51
327,Little Me,Revival,9,2,"['Drama Desk Award + Nominee + Outstanding Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Outer Critics Circle + Nominee + Outstanding Choreography', 'Outer Critics Circle + Nominee + Outstanding Revival of a Musical', 'Outer Critics Circle + Winner + Outstanding Actor in a Musical', 'Tony Award + Nominee + Best Revival of a Musical', 'Tony Award + Nominee + Best Orchestrations', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Winner + Best Actor in a Musical']",99
328,On the Town,Musical+Revival,4,1,"['Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Revival of a Musical', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Featured Actress in a Musical']",69
329,Fool Moon,Original,1,1,['Tony Award + Winner + Live Theatrical Presentation'],49
330,Peter Pan,Revival,1,1,['Outer Critics Circle + Winner + Outstanding Revival of a Musical'],48
331,Electra,Revival,10,1,"['Drama Desk Award + Nominee + Outstanding Sound Design', 'Drama Desk Award + Nominee + Outstanding Revival of a Play', 'Drama Desk Award + Nominee + Outstanding Actress in a Play', 'Drama League + Nominee + Distinguished Production of a Revival', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Revival of a Play', 'Outer Critics Circle + Winner + Outstanding Featured Actress in a Play', 'Tony Award + Nominee + Best Revival of a Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Actress in a Play']",116
332,The Blue Room,Play+Original,2,2,"[""New York Drama Critics' Circle + Winner + Special Citation"", 'Theatre World Awards + Winner + Theatre World Award']",81
333,Parade,Original,26,9,"['Drama Desk Award + Nominee + Outstanding Lighting Design', 'Drama Desk Award + Nominee + Outstanding Director of a Musical', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Winner + Outstanding Book of a Musical', 'Drama Desk Award + Winner + Outstanding Orchestrations', 'Drama Desk Award + Winner + Outstanding New Musical', 'Drama Desk Award + Winner + Outstanding Actor in a Musical', 'Drama Desk Award + Winner + Outstanding Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Lyrics', 'Drama Desk Award + Winner + Outstanding Music', 'Drama Desk Award + Nominee + Outstanding Set Design for a Musical', 'Drama Desk Award + Nominee + Outstanding Sound Design', 'Drama League + Nominee + Distinguished Production of a Musical', ""New York Drama Critics' Circle + Winner + Best Musical"", 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Tony Award + Nominee + Musical', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Winner + Best Book of a Musical', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Orchestrations', 'Tony Award + Winner + Best Original Score', 'Tony Award + Nominee + Scenic Design (Play or Musical)']",85
334,Fosse,Original,20,6,"['Drama Desk Award + Nominee + Outstanding Director of a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama League + Winner + Outstanding New Broadway Musical', 'Drama League + Winner + Distinguished Production of a Musical', 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Lighting Design', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Outer Critics Circle + Winner + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Choreography', 'Outer Critics Circle + Nominee + Outstanding Director of a Musical', 'Tony Award + Winner + Musical', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Winner + Lighting Design (Play or Musical)', 'Tony Award + Winner + Best Orchestrations']",1093
335,"You're a Good Man, Charlie Brown",Musical+Revival,14,8,"['Clarence Derwent Award + Winner + Most Promising Female Performer', 'Drama Desk Award + Nominee + Outstanding Set Design for a Musical', 'Drama Desk Award + Winner + Outstanding Revival of a Musical', 'Drama Desk Award + Nominee + Outstanding Director of a Musical', 'Drama Desk Award + Winner + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Winner + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Director of a Musical', 'Outer Critics Circle + Winner + Outstanding Revival of a Musical', 'Outer Critics Circle + Winner + Outstanding Featured Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Musical', 'Tony Award + Nominee + Best Revival of a Musical', 'Tony Award + Winner + Best Featured Actress in a Musical', 'Tony Award + Winner + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Direction of a Musical']",149
336,Death of a Salesman,Revival,19,9,"['Drama Desk Award + Nominee + Outstanding Actress in a Play', 'Drama Desk Award + Winner + Outstanding Actor in a Play', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Drama Desk Award + Winner + Outstanding Featured Actor in a Play', 'Drama Desk Award + Nominee + Outstanding Director of a Play', 'Drama Desk Award + Nominee + Outstanding Music in a Play', 'Drama Desk Award + Winner + Outstanding Revival of a Play', 'Drama League + Winner + Distinguished Production of a Revival', 'Outer Critics Circle + Winner + Outstanding Featured Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Revival of a Play', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Director of a Play', 'Tony Award + Winner + Best Revival of a Play', 'Tony Award + Winner + Best Actor in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Winner + Best Featured Actress in a Play', 'Tony Award + Winner + Best Direction of a Play']",274
337,Not About Nightingales,Drama+Original,19,7,"['Drama Desk Award + Winner + Outstanding Sound Design', 'Drama Desk Award + Nominee + Outstanding New Play', 'Drama Desk Award + Nominee + Outstanding Actor in a Play', 'Drama Desk Award + Nominee + Outstanding Actor in a Play', 'Drama Desk Award + Winner + Outstanding Director of a Play', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Drama Desk Award + Winner + Outstanding Lighting Design', 'Drama Desk Award + Winner + Outstanding Set Design for a Play', 'Drama Desk Award + Nominee + Outstanding Music in a Play', 'Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Director of a Play', 'Outer Critics Circle + Winner + Outstanding New Broadway Play', 'Outer Critics Circle + Winner + Outstanding Set Design', 'Tony Award + Nominee + Best Actor in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Winner + Scenic Design (Play or Musical)', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Nominee + Play']",125
338,Annie Get Your Gun,Musical+Revival,12,7,"['Drama Desk Award + Winner + Special Award', 'Drama Desk Award + Winner + Outstanding Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Revival of a Musical', 'Drama League + Nominee + Distinguished Production of a Revival', 'Outer Critics Circle + Winner + Outstanding Actress in a Musical', 'Outer Critics Circle + Winner + Outstanding Revival of a Musical', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Winner + Best Revival of a Musical', 'Tony Award + Winner + Best Actress in a Musical', 'Tony Award + Nominee + Best Actor in a Musical']",1045
339,Band in Berlin,Original,0,0,[],17
340,Night Must Fall,Comedy+Revival,3,0,"['Drama Desk Award + Nominee + Outstanding Set Design for a Play', 'Outer Critics Circle + Nominee + Outstanding Set Design', 'Outer Critics Circle + Nominee + Outstanding Lighting Design']",119
341,The Lion in Winter,Play+Revival,1,0,['Tony Award + Nominee + Best Actress in a Play'],93
342,Via Dolorosa,Play+Solo+Original,3,3,"['Drama Desk Award + Winner + Outstanding Solo Performance', ""New York Drama Critics' Circle + Winner + Special Citation"", 'Outer Critics Circle + Winner + Outstanding Solo Performance']",99
343,Closer,Original,13,6,"['Drama Desk Award + Nominee + Outstanding Featured Actress in a Play', 'Drama Desk Award + Winner + Outstanding Featured Actress in a Play', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Drama Desk Award + Nominee + Outstanding Director of a Play', 'Drama Desk Award + Nominee + Outstanding New Play', ""New York Drama Critics' Circle + Winner + Best Foreign Play"", 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Director of a Play', 'Outer Critics Circle + Winner + Special Award', 'Theatre World Awards + Winner + Theatre World Award', 'Theatre World Awards + Winner + Theatre World Award', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Play']",172
344,The Weir,Original,2,1,"['Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Theatre World Awards + Winner + Theatre World Award']",277
345,Peter Pan,Revival,2,1,"['Outer Critics Circle + Winner + Outstanding Actress in a Musical', 'Tony Award + Nominee + Best Revival of a Musical']",166
346,The Iceman Cometh,Revival,18,5,"['Drama Desk Award + Winner + Outstanding Revival of a Play', 'Drama Desk Award + Nominee + Outstanding Director of a Play', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Drama League + Nominee + Distinguished Production of a Revival', 'Outer Critics Circle + Winner + Outstanding Director of a Play', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Lighting Design', 'Outer Critics Circle + Winner + Outstanding Revival of a Play', 'Outer Critics Circle + Winner + Outstanding Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Set Design', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Actor in a Play', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Nominee + Best Revival of a Play']",102
347,Marlene,Musical+Original,3,0,"['Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Nominee + Best Actress in a Musical']",25
348,Amy's View,Play+Original,9,2,"['Drama Desk Award + Nominee + Outstanding Actress in a Play', 'Drama League + Nominee + Distinguished Production of a Play', ""New York Drama Critics' Circle + Winner + Special Citation"", 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Winner + Best Actress in a Play']",103
349,The Civil War,Musical+Original,14,2,"['Drama Desk Award + Nominee + Outstanding Music', 'Drama Desk Award + Nominee + Outstanding Lighting Design', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding New Musical', 'Drama League + Nominee + Distinguished Production of a Musical', 'Outer Critics Circle + Nominee + Outstanding Director of a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Winner + Outstanding Lighting Design', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Winner + Outstanding Featured Actor in a Musical', 'Tony Award + Nominee + Musical', 'Tony Award + Nominee + Best Original Score']",61
350,The Gershwins' Fascinating Rhythm,Revue+Musical+Original,1,0,['Outer Critics Circle + Nominee + Outstanding Actress in a Musical'],17
351,It Ain't Nothin' But the Blues,Revue+Musical+Original,9,0,"['Drama Desk Award + Nominee + Outstanding Musical Revue', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama League + Nominee + Distinguished Production of a Musical', 'Tony Award + Nominee + Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Book of a Musical']",284
352,The Lonesome West,Original,5,0,"['Drama League + Nominee + Distinguished Production of a Play', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Nominee + Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Actor in a Play']",55
353,Ring Round the Moon,Play+Comedy+Revival,6,1,"['Drama Desk Award + Nominee + Outstanding Featured Actress in a Play', 'Drama Desk Award + Nominee + Outstanding Costume Design', 'Drama Desk Award + Nominee + Outstanding Actor in a Play', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Nominee + Best Actress in a Play']",66
354,The 53rd Annual Tony Awards - 1999,Original,0,0,[],1
355,Natalie Merchant,Original,0,0,[],5
356,Voices in the Dark,Play+Original,0,0,[],68
357,Kat and the Kings,Musical+Original,4,0,"['Drama Desk Award + Nominee + Outstanding Orchestrations', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama League + Nominee + Distinguished Production of a Musical']",157
358,Epic Proportions,Original,0,0,[],93
359,Dame Edna: The Royal Tour,Original,3,3,"['Drama Desk Award + Winner + Outstanding Solo Performance', 'Outer Critics Circle + Winner + Special Award', 'Tony Award + Winner + Live Theatrical Presentation']",297
360,Saturday Night Fever,Original,2,0,"['Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical']",501
361,"Morning, Noon and Night",Original,1,0,['Drama Desk Award + Nominee + Outstanding Solo Performance'],12
362,The Rainmaker,Play+Revival,1,0,['Tony Award + Nominee + Best Actress in a Play'],82
363,The Price,Play+Revival,5,0,"['Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Drama Desk Award + Nominee + Outstanding Revival of a Play', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Play', 'Tony Award + Nominee + Best Revival of a Play']",128
364,Tango Argentino,Revue+Revival,1,0,['Tony Award + Nominee + Best Revival of a Musical'],63
365,"Kiss Me, Kate",Musical+Revival,31,16,"['Drama Desk Award + Winner + Outstanding Revival of a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Drama Desk Award + Winner + Outstanding Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Winner + Outstanding Director of a Musical', 'Drama Desk Award + Winner + Outstanding Orchestrations', 'Drama Desk Award + Winner + Outstanding Costume Design', 'Drama Desk Award + Winner + Outstanding Set Design for a Musical', 'Drama League + Winner + Distinguished Production of a Revival', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Winner + Outstanding Revival of a Musical', 'Outer Critics Circle + Winner + Outstanding Actor in a Musical', 'Outer Critics Circle + Winner + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Choreography', 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Director of a Musical', 'Outer Critics Circle + Winner + Outstanding Set Design', 'Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Winner + Best Revival of a Musical', 'Tony Award + Winner + Best Actor in a Musical', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Winner + Costume Design (Play or Musical)', 'Tony Award + Winner + Best Direction of a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Winner + Best Orchestrations']",881
366,Putting It Together,Revival,2,0,"['Outer Critics Circle + Nominee + Outstanding Revival of a Musical', 'Tony Award + Nominee + Best Actor in a Musical']",101
367,Marie Christine,Original,6,0,"['Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Best Orchestrations', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Nominee + Best Actress in a Musical']",42
368,Minnelli on Minnelli,Original,0,0,[],20
369,Swing!,Revue+Original,14,2,"['Drama Desk Award + Nominee + Outstanding Orchestrations', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Musical', 'Drama League + Nominee + Distinguished Production of a Musical', 'Outer Critics Circle + Nominee + Outstanding Choreography', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Theatre World Awards + Winner + Theatre World Award', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Orchestrations', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Musical']",461
370,Amadeus,Drama+Revival,11,0,"['Drama League + Nominee + Distinguished Production of a Revival', 'Outer Critics Circle + Nominee + Outstanding Set Design', 'Outer Critics Circle + Nominee + Outstanding Lighting Design', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Director of a Play', 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Revival of a Play', 'Tony Award + Nominee + Best Actor in a Play', 'Tony Award + Nominee + Best Revival of a Play']",173
371,Waiting in the Wings,Play+Original,5,0,"['Outer Critics Circle + Nominee + Outstanding Featured Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Actress in a Play']",183
372,Much Ado About Everything,Original,0,0,[],186
373,James Joyce's The Dead,Original,15,4,"['Drama Desk Award + Nominee + Outstanding Music', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Winner + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Musical', 'Drama League + Nominee + Distinguished Production of a Musical', ""New York Drama Critics' Circle + Winner + Best Musical"", 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Musical', 'Outer Critics Circle + Winner + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Director of a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Winner + Best Book of a Musical', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Nominee + Musical']",120
374,Wrong Mountain,Original,1,0,['Tony Award + Nominee + Best Featured Actor in a Play'],28
375,Squonk,Concert+Musical+Original,0,0,[],32
